Name,Routes
Avantika Sector-2,"[{'name': '957', 'mode': 5, 'dir': 'Rohini Sector-22'}]"
B Block Mangolpuri,"[{'name': '568A', 'mode': 5, 'dir': 'Mangolpuri Terminal'}]"
Chhath Park,"[{'name': '940A', 'mode': 5, 'dir': 'Inder Puri'}]"
E Block Mangolpuri,"[{'name': '568A', 'mode': 5, 'dir': 'Mangolpuri Terminal'}]"
Q Block Mangol puri,"[{'name': '568', 'mode': 5, 'dir': 'Safdarjung Terminal'}]"
S Block Mangol puri,"[{'name': '231', 'mode': 5, 'dir': 'Y Block Mangol Puri'}]"
Sultanpuri,"[{'name': '569', 'mode': 5, 'dir': 'Safdarjung Terminal'}]"
Sultanpuri D Block,"[{'name': '939Ext', 'mode': 5, 'dir': 'Inder Enclave'}, {'name': '94', 'mode': 5, 'dir': 'Sultanpuri Terminal'}]"
Columbia Asia Hospital,"[{'name': '112B', 'mode': 5, 'dir': 'To Haryana Vidyut Prasaran Nigam'}]"
Gurgaon One Apartment,"[{'name': '215B', 'mode': 5, 'dir': 'To Dundahera'}]"
Dlf Phase - II (Block L) - NH48,"[{'name': '132A', 'mode': 5, 'dir': 'To Hero Honda Chowk'}, {'name': '210', 'mode': 5, 'dir': 'To Gurugram Bus Stand'}]"
Pasco Motors,"[{'name': '212', 'mode': 5, 'dir': 'To Basai Chowk'}]"
Horse Chowk/Bata Chowk,"[{'name': 'Gurgaon', 'mode': 5, 'dir': 'Badarpur Border'}]"
Sanjay Gram / Sector - 14,"[{'name': '215B', 'mode': 5, 'dir': 'To Gurugram Bus Stand'}]"
Sheetla Mata Mandir (A),"[{'name': '212', 'mode': 5, 'dir': 'To Basai Chowk'}]"
Patel Nagar Vyapar Kendra,"[{'name': '116E', 'mode': 5, 'dir': 'To Huda City Centre Metro Station (B)'}, {'name': '116F', 'mode': 5, 'dir': 'To Rajesh Pilot Gurjar Chowk'}, {'name': '119', 'mode': 5, 'dir': 'To Nit Bus Stand'}, {'name': '122', 'mode': 5, 'dir': 'To Kendriya Vihar'}, {'name': '210', 'mode': 5, 'dir': 'To Karol Bagh'}]"
Jhatikara More,"[{'name': '539', 'mode': 5, 'dir': 'Nangloi'}]"
B.D.O. Office,"[{'name': '818', 'mode': 5, 'dir': 'Jhatikara Village'}, {'name': '819', 'mode': 5, 'dir': 'Pandwala Village'}, {'name': '829', 'mode': 5, 'dir': 'Sikar Pur Village'}, {'name': '834', 'mode': 5, 'dir': 'Nanak Heri Border'}, {'name': '845', 'mode': 5, 'dir': 'Daulat Pur Village'}]"
Chhawla Stand,"[{'name': '886', 'mode': 5, 'dir': 'Najafgarh Terminal'}]"
Govt SR.Sec.Girls School Najafgarh,"[{'name': '822', 'mode': 5, 'dir': 'Issa Pur Village Mandir'}, {'name': '836', 'mode': 5, 'dir': 'Mundhela Khurad'}]"
Najafgarh Health Center,"[{'name': '824', 'mode': 5, 'dir': 'Tilak Nagar'}, {'name': '827', 'mode': 5, 'dir': 'Tilak Nagar'}]"
